title,artist,energy,danceability,loudness,tempo
Blinding Lights,The Weeknd,73,51,-6,6
Watermelon Sugar,Harry Styles,82,55,-4,5
Mood (feat. iann dior),24kGoldn,72,70,-4,4
Someone You Loved,Lewis Capaldi,41,50,-6,3
Perfect,Ed Sheeran,45,60,-6,2
Believer,Imagine Dragons,78,78,-4,13
lovely (with Khalid),Billie Eilish,30,35,-10,3
Circles,Post Malone,76,70,-3,4
Shape of You,Ed Sheeran,65,83,-3,8
Memories,Maroon 5,33,78,-7,6
Closer,The Chainsmokers,52,75,-6,3
bad guy,Billie Eilish,43,70,-11,38
Say You Won't Let Go,James Arthur,56,36,-7,6
Lucid Dreams,Juice WRLD,57,51,-7,20
All of Me,John Legend,26,42,-7,3
7 rings,Ariana Grande,32,78,-11,33
Jocelyn Flores,XXXTENTACION,39,87,-9,24
goosebumps,Travis Scott,73,84,-3,5
Wake Me Up,Avicii,78,53,-6,5
ROCKSTAR (feat. Roddy Ricch),DaBaby,69,75,-8,16
rockstar (feat. 21 Savage),Post Malone,52,59,-6,7
Photograph,Ed Sheeran,38,61,-10,5
SAD!,XXXTENTACION,61,74,-5,14
SICKO MODE,Travis Scott,73,83,-4,22
Stressed Out,Twenty One Pilots,64,73,-6,14
Roses - Imanbek Remix,SAINt JHN,72,77,-5,5
The Box,Roddy Ricch,59,90,-7,6
The Hills,The Weeknd,56,59,-7,5
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,48,76,-6,5
Thinking out Loud,Ed Sheeran,45,78,-6,3
Starboy,The Weeknd,59,68,-7,28
Love Yourself,Justin Bieber,38,61,-10,44
Something Just Like This,The Chainsmokers,64,62,-7,3
Shallow,Lady Gaga,39,57,-6,3
Thunder,Imagine Dragons,82,61,-5,4
XO Tour Llif3,Lil Uzi Vert,75,73,-6,23
Take Me To Church,Hozier,66,57,-5,5
Happier,Marshmello,79,69,-3,5
"thank u, next",Ariana Grande,65,72,-6,7
Counting Stars,OneRepublic,71,66,-5,4
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,92,64,-4,8
Señorita,Shawn Mendes,54,76,-6,3
God's Plan,Drake,45,75,-9,11
Don't Start Now,Dua Lipa,79,79,-5,8
Bohemian Rhapsody - Remastered 2011,Queen,40,41,-10,5
HUMBLE.,Kendrick Lamar,62,91,-7,10
Let Me Love You,DJ Snake,72,65,-5,3
Congratulations,Post Malone,80,63,-4,4
Stay With Me,Sam Smith,42,42,-6,4
Treat You Better,Shawn Mendes,82,44,-4,34
Uptown Funk (feat. Bruno Mars),Mark Ronson,61,86,-7,8
I Like Me Better,Lauv,51,75,-8,25
when the party's over,Billie Eilish,11,37,-14,10
Mr. Brightside,The Killers,91,35,-5,7
Dance Monkey,Tones And I,59,82,-6,9
Havana (feat. Young Thug),Camila Cabello,52,77,-4,3
Better Now,Post Malone,58,68,-6,4
I Don't Care (with Justin Bieber),Ed Sheeran,68,80,-5,4
Unforgettable,French Montana,77,73,-5,12
Too Good At Goodbyes,Sam Smith,37,68,-8,4
Riptide,Vance Joy,73,48,-7,4
That's What I Like,Bruno Mars,56,85,-5,4
See You Again (feat. Charlie Puth),Wiz Khalifa,48,69,-8,8
One Kiss (with Dua Lipa),Calvin Harris,86,79,-3,11
Heathens,Twenty One Pilots,40,73,-9,3
Demons,Imagine Dragons,71,51,-3,3
Youngblood,5 Seconds of Summer,85,60,-5,46
Old Town Road - Remix,Lil Nas X,62,88,-6,10
I'm Yours,Jason Mraz,46,69,-8,5
Attention,Charlie Puth,61,78,-5,5
New Rules,Dua Lipa,70,76,-6,7
Sorry,Justin Bieber,76,65,-4,5
Don't Let Me Down,The Chainsmokers,87,53,-5,17
7 Years,Lukas Graham,47,77,-6,5
I Like It,Cardi B,73,82,-4,13
I Fall Apart,Post Malone,54,56,-5,4
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,56,73,-8,13
Can't Feel My Face,The Weeknd,77,71,-6,4
Despacito,Luis Fonsi,80,66,-5,15
Psycho (feat. Ty Dolla $ign),Post Malone,56,75,-8,11
Stitches,Shawn Mendes,75,75,-7,7
What Do You Mean?,Justin Bieber,57,85,-8,10
Wonderwall - Remastered,Oasis,90,38,-4,4
Radioactive,Imagine Dragons,78,45,-4,6
Eastside (with Halsey & Khalid),benny blanco,68,56,-8,32
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,69,78,-6,3
Cheap Thrills,Sia,70,63,-6,11
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,54,85,-7,5
Faded,Alan Walker,65,59,-5,3
Let Her Go,Passenger,54,45,-7,7
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,83,67,-6,7
Lean On,Major Lazer,81,72,-3,6
Despacito - Remix,Luis Fonsi,80,65,-4,18
Lose Yourself,Eminem,74,69,-5,27
Without Me (with Juice WRLD),Halsey,51,74,-6,7
One Dance,Drake,61,79,-6,6
Sugar,Maroon 5,79,75,-7,3
Emotions,Mark Mendy,83,66,-5,29
Cold Water,Major Lazer,80,61,-5,4
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,73,67,-7,10
